"id","code","name","url","product_selection","price","volume","images"
"1","1818201","Togouchi Premium","/Land/Japan/Togouchi-Premium/p/1818201","Bestillingsutvalget","Kr 779,00","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/1818201-1.jpg"
"2","11524301","Suntory Whisky Toki","/Land/Japan/Suntory-Whisky-Toki/p/11524301","Bestillingsutvalget","Kr 539,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/11524301-1.jpg"
"3","7685501","Togouchi 15 YO","/Land/Japan/Togouchi-15-YO/p/7685501","Bestillingsutvalget","Kr 1 875,00","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/7685501-1.jpg"
"4","7685601","Togouchi 9 YO","/Land/Japan/Togouchi-9-YO/p/7685601","Bestillingsutvalget","Kr 1 099,00","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/7685601-1.jpg"
"5","7685302","Akashi Single Malt 5 YO Single Cask #61071","/Land/Japan/Akashi-Single-Malt-5-YO-Single-Cask-%2361071/p/7685302","Bestillingsutvalget","Kr 1 728,00","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/7685302-1.jpg"
"6","1818402","Akashi Single Malt","/Land/Japan/Akashi-Single-Malt/p/1818402","Bestillingsutvalget","Kr 989,00","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/1818402-1.jpg"
"7","1818302","Akashi Blended","/Land/Japan/Akashi-Blended/p/1818302","Bestillingsutvalget","Kr 529,00","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/1818302-1.jpg"
"8","12643201","Fuyu Mizunara Finish Japanese Blended Whisky","/Land/Japan/Fuyu-Mizunara-Finish-Japanese-Blended-Whisky/p/12643201","Bestillingsutvalget","Kr 689,00","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12643201-1.jpg"
"9","12671001","Nikka Taketsuru Pure Malt 25 YO","/Land/Japan/Nikka-Taketsuru-Pure-Malt-25-YO/p/12671001","Bestillingsutvalget","Kr 26 990,00","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12671001-1.jpg"
"10","8239801","Togouchi Kiwami Blended Whisky","/Land/Japan/Togouchi-Kiwami-Blended-Whisky/p/8239801","Bestillingsutvalget","Kr 814,70","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/8239801-1.jpg"
"11","8239902","Akashi Meïsei Blended Whisky","/Land/Japan/Akashi-Me%C3%AFsei-Blended-Whisky/p/8239902","Bestillingsutvalget","Kr 615,90","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/8239902-1.jpg"
"12","10319201","The Kurayoshi Pure Malt Aged in Sherry Cask","/Land/Japan/The-Kurayoshi-Pure-Malt-Aged-in-Sherry-Cask/p/10319201","Bestillingsutvalget","Kr 899,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10319201-1.jpg"
"13","10319402","The Tottori Blended Japanese Whisky","/Land/Japan/The-Tottori-Blended-Japanese-Whisky/p/10319402","Bestillingsutvalget","Kr 459,90","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/10319402-1.jpg"
"14","10319302","The Tottori Blended Japanese Whisky Bourbon Barrel","/Land/Japan/The-Tottori-Blended-Japanese-Whisky-Bourbon-Barrel/p/10319302","Bestillingsutvalget","Kr 479,90","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/10319302-1.jpg"
"15","10319801","Fuyu Blended Japanese Whisky","/Land/Japan/Fuyu-Blended-Japanese-Whisky/p/10319801","Bestillingsutvalget","Kr 559,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10319801-1.jpg"
"16","10321201","Yamazakura Blended Whisky","/Land/Japan/Yamazakura-Blended-Whisky/p/10321201","Bestillingsutvalget","Kr 834,70","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10321201-1.jpg"
"17","10480302","Kamiki Blended Malt Whisky","/Land/Japan/Kamiki-Blended-Malt-Whisky/p/10480302","Bestillingsutvalget","Kr 749,90","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/10480302-1.jpg"
"18","10487401","Fujimi Blended Japanese Whisky","/Land/Japan/Fujimi-Blended-Japanese-Whisky/p/10487401","Bestillingsutvalget","Kr 589,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10487401-1.jpg"
"19","10488301","The Kurayoshi Pure Malt Whisky","/Land/Japan/The-Kurayoshi-Pure-Malt-Whisky/p/10488301","Bestillingsutvalget","Kr 799,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10488301-1.jpg"
"20","11331201","The Matsui Single Malt Mizunara Cask","/Land/Japan/The-Matsui-Single-Malt-Mizunara-Cask/p/11331201","Bestillingsutvalget","Kr 1 189,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/11331201-1.jpg"
"21","11331501","The Matsui Single Malt Sakura Cask","/Land/Japan/The-Matsui-Single-Malt-Sakura-Cask/p/11331501","Bestillingsutvalget","Kr 1 189,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/11331501-1.jpg"
"22","11331601","The Matsui Single Malt Peated","/Land/Japan/The-Matsui-Single-Malt-Peated/p/11331601","Bestillingsutvalget","Kr 1 189,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/11331601-1.jpg"
"23","11342802","Akashi Single Malt Whisky 3 YO Sake cask","/Land/Japan/Akashi-Single-Malt-Whisky-3-YO-Sake-cask/p/11342802","Bestillingsutvalget","Kr 1 355,00","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/11342802-1.jpg"
"24","11342701","Okayama Single Malt Whisky","/Land/Japan/Okayama-Single-Malt-Whisky/p/11342701","Bestillingsutvalget","Kr 1 890,00","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/11342701-1.jpg"
"25","10994601","Nikka Days","/Land/Japan/Nikka-Days/p/10994601","Bestillingsutvalget","Kr 599,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/10994601-1.jpg"
"26","11006102","Tokinoka Black Blended Whisky","/Land/Japan/Tokinoka-Black-Blended-Whisky/p/11006102","Bestillingsutvalget","Kr 765,00","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/11006102-1.jpg"
"27","11476902","Akashi Japanese Single Malt 4 YO Red Wine Cask","/Land/Japan/Akashi-Japanese-Single-Malt-4-YO-Red-Wine-Cask/p/11476902","Bestillingsutvalget","Kr 1 990,00","0.5","https://bilder.vinmonopolet.no/cache/300x300-0/11476902-1.jpg"
"28","12196701","Hinotori 5 YO Japanese Blended Whisky","/Land/Japan/Hinotori-5-YO-Japanese-Blended-Whisky/p/12196701","Bestillingsutvalget","Kr 859,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12196701-1.jpg"
"29","12307301","The Nikka Tailored","/Land/Japan/The-Nikka-Tailored/p/12307301","Bestillingsutvalget","Kr 1 349,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12307301-1.jpg"
"30","12381901","Togouchi Pure Malt","/Land/Japan/Togouchi-Pure-Malt/p/12381901","Bestillingsutvalget","Kr 969,00","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12381901-1.jpg"
"31","12461501","Nikka Taketsuru Pure Malt","/Land/Japan/Nikka-Taketsuru-Pure-Malt/p/12461501","Bestillingsutvalget","Kr 924,90","0.7","https://bilder.vinmonopolet.no/cache/300x300-0/12461501-1.jpg"
